Doctor Identifier,ChargePerPatient,DrugChargePerPatient,PercentChargePaid,PercentDrugChargePaid,PercentAllowedPaid,AveragePatientRisk
541013220,59.63666666666666,41.97359477124183,0.977086737663038,0.686804955060108,0.9799963066045825,1.16
155840993,367.358024691358,0.0,0.20864766769727117,0.0,0.7316596606222593,1.07
521453024,497.57823754789274,0.0,0.27411673337033504,0.0,0.7264716374001685,1.95
809698072,880.1024027459954,93.01258581235697,0.4034295468269698,0.09120099270744836,0.8348253766685986,1.07
214899274,410.16779141104297,3.4960122699386504,0.42674672268643604,0.004625744215108735,0.728532059666735,1.31
800658398,4145.966666666666,0.0,0.23497027633282144,0.0,0.7744188341376588,1.09
625260676,862.9552845528456,0.0,0.22820846307121964,0.0,0.7744247646146715,3.44
945534144,984.8663101604278,0.0,0.20435136015637725,0.0,0.7100278820069837,1.36
543098180,417.25555555555553,0.0,0.40826458605171356,0.0,0.7840080673534008,2.11
820910965,615.0582524271845,0.0,0.1738946504396142,0.0,0.7524310029112157,2.04
545816016,854.6689130434783,47.66055183946488,0.3390976313638712,0.03502586549924738,0.7827676220633131,1.04
238829086,309.61538461538464,0.0,0.3916372670807453,0.0,0.6996005680809515,1.21
505767482,282.2413793103448,0.0,0.1964117287721442,0.0,0.7840376502718917,1.41
721188642,626.4371460674158,0.0,0.3549825008224683,0.0,0.7729386531852774,2.3
269270226,471.3333333333333,0.0,0.41515381895332387,0.0,0.7581281869703629,1.17
247536866,1062.6833333333334,0.0,0.2929502796031709,0.0,0.7567924699454857,1.02
178882670,1090.5084745762713,0.0,0.19081908610506684,0.0,0.6775348466359509,1.12
683864070,1626.9107142857142,0.0,0.18650947316263922,0.0,0.7734269139118974,2.25
299380307,4331.666666666667,0.0,0.4337134282416314,0.0,0.6983655381675113,1.18
252683387,382.5,0.0,0.25570751633986927,0.0,0.622820528127674,2.09
368560943,569.4294478527607,0.0,0.24907861706368445,0.0,0.7425898343760249,3.22
385510579,1370.8333333333333,0.0,0.4336657640232109,0.0,0.7249498542558476,1.16
469969901,1116.9371727748692,7.12216404886562,0.2045541050460543,0.0003772939273911923,0.7549649156284833,1.16
340708066,726.0991228070176,190.39298245614034,0.29725280367452606,0.08094214095267549,0.7493323669187769,1.61
221712281,1139.9504347826087,0.0,0.4945714649683472,0.0,0.7745755756407507,0.73
182213495,523.9507908611599,0.0,0.26027702865883107,0.0,0.7293561256721172,1.94
738054078,317.423982869379,0.0,0.24059205866281697,0.0,0.7889781541687286,1.07
467019729,1059.8604294478528,0.0,0.1501335833951976,0.0,0.7720690867427266,1.22
449420851,512.4571428571429,0.0,0.38497323818019624,0.0,0.7409047134912993,0.99
866200762,1014.7916666666666,0.0,0.4312794087456374,0.0,0.7713662550533702,0.78
888454161,1010.8823529411765,0.0,0.3694905440791388,0.0,0.7794924707845078,1.06
321820088,5901.666666666667,0.0,0.5004156311776334,0.0,0.7839736550567107,1.01
872361331,317.54615384615386,0.0,0.2848598628909183,0.0,0.7026925602776996,1.09
768649848,391.6366412213741,47.21297709923664,0.42203290555975703,0.10393514006595925,0.7500426512021924,1.11
306022200,87.3625,57.373175675675675,0.9119450255807388,0.6394426763292124,0.9800248681373666,0.89
831964450,399.8464912280702,0.0,0.2739261778094663,0.0,0.6926833056879268,1.12
782493940,580.16,0.0,0.15494425940854512,0.0,0.7802779510093653,1.5
567195179,1173.9634146341464,0.0,0.3731073598919649,0.0,0.7670303940436866,1.02
383003918,1876.5664739884394,0.0,0.21963751286016153,0.0,0.7736976538781214,3.03
315569796,1381.4817749603803,0.0,0.21424377233384764,0.0,0.7324768111807411,1.17
537357776,168.0392156862745,0.0,0.45404900816802796,0.0,0.7859993859379797,1.17
687735512,306.3048780487805,0.0,0.2452223593582036,0.0,0.6143118171681166,1.48
469129130,1086.8976525821597,84.9943661971831,0.23349932529679168,0.024195159414831028,0.7450301295026559,1.32
690694340,469.65625,0.0,0.4396752944307672,0.0,0.7782399773872899,1.43
